timestamp,sample_id,sample_category,image1_name,image2_name,deepface_similarity,deepface_confidence,deepface_decision,models_used,clip_image_similarity,lpips_distance,ssim_whole_image,ssim_face_region,psnr,mse,histogram_correlation,final_score,consistency_level,overall_confidence,notes
2025-10-06T09:33:32.389210,Basic_20251006_093332_389_835,Basic,image1.jpg,image2.jpg,0.6801553294315389,0.9182155808588877,Same Person,3,0.6806369423866272,0.7131017446517944,0.44231286105239803,0.0,8.7808204860205,8609.904062389654,0.0,0.5207737467535464,Moderate,0.7742597667717391,same person
2025-10-06T09:34:11.985394,Basic_20251006_093411_985_908,Basic,image1.jpg,image2.jpg,0.7372830259374207,0.8648082557319444,Same Person,3,0.841198205947876,0.7494494318962097,0.6112132075795688,0.0,11.054575323314857,5100.618344754149,0.0,0.626652958097427,High,0.7661855000077546,same person
2025-10-06T09:34:25.010556,Basic_20251006_093425_010_316,Basic,image1.jpg,image2.jpg,0.7440490719393372,0.9695548020373207,Same Person,3,0.5917448401451111,0.8078075647354126,0.3746296821747838,0.0,8.571990086772303,9034.026334083686,0.0,0.4983865444388565,Moderate,0.7523436740407698,same person
2025-10-06T09:35:05.551225,Attribute_20251006_093505_551_794,Attribute,image1.jpg,image2.jpg,0.6882506447388295,0.9220437945373114,Same Person,3,0.7638246417045593,0.8063342571258545,0.33135122351142515,0.0,8.673895937383469,8824.51340428584,0.0,0.5304959097078545,Moderate,0.721746439506294,photomaker
2025-10-06T09:35:26.455568,Attribute_20251006_093526_455_623,Attribute,image1.jpg,image2.jpg,0.7491658209223319,0.8418101650389197,Same Person,3,0.8161496520042419,0.8156318664550781,0.4459244625865383,0.0,9.132402821057186,7940.357912914901,0.0,0.5709966650040282,Moderate,0.6994195216801922,photomaker
2025-10-06T09:35:43.324594,Attribute_20251006_093543_324_531,Attribute,image1.jpg,image2.jpg,0.6538911188054907,0.9300394829610915,Same Person,3,0.8024434447288513,0.8215991854667664,0.41636916085271986,0.0,6.966044334991453,13076.030574130473,0.0,0.5457196097428247,Moderate,0.7349485490631171,photomaker
2025-10-06T09:35:58.695485,Boundary_20251006_093558_695_508,Boundary,image1.jpg,image2.jpg,0.7183270193207973,0.9274698839917744,Same Person,3,0.7537747621536255,0.7897233963012695,0.47474326658329763,0.0,8.686214003355317,8799.519550560557,0.0,0.5581954886591994,Moderate,0.7480585150436984,photomaker
2025-10-06T09:36:13.467820,Boundary_20251006_093613_467_341,Boundary,image1.jpg,image2.jpg,0.7658287890325143,0.9295427461652142,Same Person,3,0.8004125356674194,0.7902828454971313,0.4303147895817801,0.0,7.768167981373745,10870.851489395745,0.0,0.5912325862494721,Moderate,0.7282622463581543,photomaker
2025-10-06T09:36:25.471915,Boundary_20251006_093625_471_278,Boundary,image1.jpg,image2.jpg,0.7297305628905799,0.9597547099867181,Same Person,3,0.7148532867431641,0.8232839107513428,0.4370444257502421,0.0,9.406155938349016,7455.293870828919,0.0,0.542573780858395,Moderate,0.7457676035067768,photomaker
2025-10-06T09:58:37.763745,Basic_20251006_095837_763_227,Basic,image1.jpg,image2.jpg,0.6425509271997927,0.9232598207022482,Same Person,3,0.8728269338607788,0.5841689109802246,0.5771069175629173,0.0,11.660103477775701,4436.801643328478,0.0,0.599002245100486,Moderate,0.7566879202765562,same person real photo
2025-10-06T10:00:22.864797,Basic_20251006_100022_864_665,Basic,image1.jpg,image2.jpg,0.8366942340141943,0.8712227334117404,Same Person,3,0.7573515176773071,0.5426381826400757,0.6367483916075561,0.0,10.633973215576692,5619.310619354248,0.0,0.6540433166787575,High,0.7952183607226271,same person real photo
2025-10-06T10:02:34.642214,Basic_20251006_100234_642_205,Basic,image1.jpg,image2.jpg,0.8897156710264663,0.925610964058705,Same Person,3,0.9053654074668884,0.4219595491886139,0.6270512423757407,0.0,12.10750620619824,4002.485251108805,0.0,0.7501840161966363,High,0.7915084922291309,same person real photo
2025-10-06T10:02:56.306440,Basic_20251006_100256_306_670,Basic,image1.jpg,image2.jpg,0.6648373876751896,0.9009394529492151,Same Person,3,0.791657030582428,0.8192277550697327,0.3350998281331654,0.0,6.334507047146928,15122.711119333902,0.0,0.5591336062566347,Moderate,0.7552974084240189,same person real photo
2025-10-06T10:03:16.963909,Basic_20251006_100316_963_947,Basic,image1.jpg,image2.jpg,0.5800439384359954,0.9129712060476098,Same Person,3,0.7379278540611267,0.8172274827957153,0.3530829817304694,0.0,8.241998249491644,9747.214781443277,0.0,0.48977357423399387,Moderate,0.7521690596825252,same person real photo
2025-10-06T10:05:31.243324,Basic_20251006_100531_243_443,Basic,image1.jpg,image2.jpg,0.6220034850658157,0.9207759198651014,Same Person,3,0.7630779147148132,0.8311607241630554,0.3877551967628385,0.0,7.792867260217627,10809.202047983805,0.0,0.5210106174247109,Moderate,0.7506766406890204,same person real photo
