sample_id,sample_category,deepface_similarity,clip_image_similarity,lpips_distance,ssim_whole_image,final_score
Basic_20251006_093332_389_835,Basic,0.6801553294315389,0.6806369423866272,0.7131017446517944,0.442312861052398,0.5207737467535464
Basic_20251006_093411_985_908,Basic,0.7372830259374207,0.841198205947876,0.7494494318962097,0.6112132075795688,0.626652958097427
Basic_20251006_093425_010_316,Basic,0.7440490719393372,0.5917448401451111,0.8078075647354126,0.3746296821747838,0.4983865444388565
Attribute_20251006_093505_551_794,Attribute,0.6882506447388295,0.7638246417045593,0.8063342571258545,0.3313512235114251,0.5304959097078545
Attribute_20251006_093526_455_623,Attribute,0.7491658209223319,0.8161496520042419,0.8156318664550781,0.4459244625865383,0.5709966650040282
Attribute_20251006_093543_324_531,Attribute,0.6538911188054907,0.8024434447288513,0.8215991854667664,0.4163691608527198,0.5457196097428247
Boundary_20251006_093558_695_508,Boundary,0.7183270193207973,0.7537747621536255,0.7897233963012695,0.4747432665832976,0.5581954886591994
Boundary_20251006_093613_467_341,Boundary,0.7658287890325143,0.8004125356674194,0.7902828454971313,0.4303147895817801,0.5912325862494721
Boundary_20251006_093625_471_278,Boundary,0.7297305628905799,0.7148532867431641,0.8232839107513428,0.4370444257502421,0.542573780858395
